id,grid_x,grid_y,n_internal,seed,n_nodes,n_edges,target_stretch,max_force,max_stretch,mean_stretch,std_stretch,max_displacement,energy,sim_time,feat_n_node,feat_n_edge,feat_total_length,feat_mean_edge_len,feat_len_cv,feat_deg2_count,feat_deg4_count,feat_degree_entropy,feat_orient_entropy,feat_anisotropy,feat_radius_gyration,feat_moment_total,feat_clustering_coef,feat_fiedler_value,feat_lambda_max,feat_spectral_gap_ratio,feat_aspl_giant,feat_boundary_frac,feat_fractal_dim_box,feat_rigidity_index,feat_redundancy_ratio,feat_max_k_core,feat_kcore_frac,feat_triangle_count,feat_triangle_ratio,feat_quad_count,feat_quad_ratio,feat_avg_shortest_dy,feat_straightness,feat_mesh_median_area,feat_mesh_cv_area,feat_mesh_max_area_ratio,feat_edge_betweenness_max,feat_edge_betweenness_gini,feat_largest_pore_ratio,feat_top_area_sum_ratio,feat_top_convexity_min,feat_top_convexity_mean,feat_top_circularity_min,feat_big_pore_count,feat_total_pore_count,feat_total_pore_ratio,feat_center_pore_ratio,feat_edge_pore_ratio,feat_pore_area_cv,feat_pore_area_skew,feat_pore_area_kurtosis,feat_pore_area_max_over_mean,feat_pore_large_area_frac,feat_pore_count_large_frac,feat_pore_density,feat_pore_spatial_cv,feat_contact_thick,feat_contact_canvas_size,feat_contact_nodes,feat_contact_edges,feat_contact_edge_pixel_union_count,feat_contact_edge_pixel_sum,feat_contact_raw_overlap_pixel_count,feat_contact_overlap_pixel_count,feat_contact_overlap_pair_count,feat_contact_overlap_pairs_per_edge,feat_contact_edges_with_contact_count,feat_contact_edges_with_contact_ratio,feat_contact_overlap_pixel_ratio_union,feat_contact_raw_overlap_pixel_ratio_union,feat_contact_overlap_pixel_ratio_canvas,feat_contact_overlap_length_px_approx,feat_contact_overlap_length_ratio_centerline,feat_contact_centerline_length_px,feat_contact_overlap_pair_size_sum,feat_contact_overlap_pair_size_mean,feat_contact_overlap_pair_size_median,feat_contact_overlap_pair_size_max,feat_contact_overlap_pair_size_std,feat_contact_overlap_pair_size_q75,feat_contact_overlap_pair_size_q90,feat_contact_overlap_pair_size_q95,feat_contact_overlap_cc_count,feat_contact_overlap_cc_size_sum,feat_contact_overlap_cc_size_mean,feat_contact_overlap_cc_size_median,feat_contact_overlap_cc_size_max,feat_contact_overlap_cc_size_std,feat_contact_overlap_cc_size_q75,feat_contact_overlap_cc_size_q90,feat_contact_overlap_cc_size_q95,feat_contact_edge_contact_degree_mean,feat_contact_edge_contact_degree_median,feat_contact_edge_contact_degree_max,feat_contact_edge_contact_degree_std,feat_contact_edge_contact_degree_q75,feat_contact_edge_contact_degree_q90,feat_contact_edge_contact_degree_q95
1,4,5,11,20,1069,1421,1.5,173684.78599196026,2.7368478599196027,1.2940770375699882,0.3528625791166283,20.005902845714253,0.0,14.561975479125977,1069,1421,1819.6876526658177,1.2805683692229541,0.6214355094517102,173,0,1.0504165443901219,3.8633240242413938,0.05309012073248112,18.96281732747397,49212.036286682865,0.0,0.0032741706806332723,5.607510973819551,0.0005838901958318398,23.742077548060248,0.06896551724137931,0.026359768684942036,-714.0,0.24841660802251936,2,0.0018709073900841909,0,0.0,0,0.0,50.10386511163662,1.0020773022327123,0.0,0.0,0.0,0.0995994226790928,0.518391138674817,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,1069,1421,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3,4,15,27,666,865,1.5,100304.28790662644,2.0030428790662644,1.2738200631130725,0.24394517019019832,16.96069971330113,0.0,14.374047756195068,666,865,1064.8614059255278,1.2310536484688184,0.7116425560897301,104,0,1.1309211884564792,3.947215387919006,0.006652994443845937,15.010075243453022,23499.36622726368,0.0,0.0046703947690449965,5.71396636125379,0.0008173647644679825,19.240917609338663,0.09710982658959537,0.04099554384850345,-464.0,0.23121387283236994,2,0.003003003003003003,0,0.0,0,0.0,40.02097322444646,1.0005243306111364,0.0,0.0,0.0,0.14087210799959432,0.4731449592298832,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,666,865,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,4,5,8,34,1094,1441,1.5,142847.8189975746,2.428478189975746,1.2894981720479146,0.34279210996768644,21.09403039471883,0.0,14.139955759048462,1094,1441,1823.3593026023348,1.2653430274825364,0.6972671341423269,188,0,1.0931052274370954,4.06957103470094,0.04097466630144091,19.04344607032704,50042.5253615954,0.0,0.0033422903319650725,5.624431745113054,0.0005942449803695317,23.920029571596547,0.07494795281054822,0.06191266042282148,-744.0,0.24149895905621097,2,0.0018281535648994515,0,0.0,0,0.0,50.08725374005303,1.0017450748010406,0.0,0.0,0.0,0.09423138958743209,0.4861536651942849,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,1094,1441,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,5,5,7,41,1330,1776,1.5,190823.7258779948,2.908237258779948,1.2685663513158558,0.382907261630077,25.16648079608163,0.0,16.444063901901245,1330,1776,2182.203363455935,1.2287181100540174,0.7159991485568137,222,0,1.0345996602942173,4.033517387473327,0.016392978423590426,20.933968675350407,68211.2980548359,0.0,0.0028498116461185214,5.632002918258192,0.0005060032261132734,26.102979797122604,0.061936936936936936,0.03310919107432994,-881.0,0.2516891891891892,2,0.0015037593984962407,0,0.0,0,0.0,50.162542048421585,1.0032508409684116,0.0,0.0,0.0,0.10494410647555867,0.5571989500519774,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,1330,1776,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,3,2,6,48,342,433,1.5,106539.01149655378,2.065390114965538,1.2258883067252095,0.2607545338213881,17.70049613449345,0.0,14.492737531661987,342,433,531.5726021021292,1.2276503512751251,0.611507429183324,44,0,1.1733155795540713,3.949367757620621,0.05572723933288154,10.939622732982743,8452.443796488807,0.0,0.007258205969972727,5.654667282732665,0.001283577902476316,14.503335562758313,0.13856812933025403,0.05166493086309023,-248.0,0.21247113163972287,2,0.005847953216374269,0,0.0,0,0.0,20.492911712066054,1.0246455856032515,0.0,0.0,0.0,0.15255350481641472,0.43368730257300014,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,342,433,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,5,5,10,55,1360,1802,1.5,205866.61666724586,3.0586661666724586,1.2700183829546208,0.40708304974889226,25.799669314637782,0.0,16.14158535003662,1360,1802,2201.367334685026,1.2216244920560633,0.6478573770455595,244,0,1.073795354915474,4.040555033091853,0.03239129336123561,20.912705577612165,69077.23279303388,0.0,0.003069978372534573,5.598825058054179,0.0005483254684155051,26.22314418040947,0.06714761376248612,0.047680880007309995,-915.0,0.2458379578246393,2,0.0014705882352941176,0,0.0,0,0.0,49.999999999999986,0.9999999999999797,0.0,0.0,0.0,0.09667046299971119,0.5500799563186242,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,1360,1802,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,3,5,5,62,870,1111,1.5,143713.31090683673,2.4371331090683674,1.294173458230453,0.26710379134944673,16.26864567880723,0.0,14.613155841827393,870,1111,1359.565466895359,1.2237312933351565,0.8254196748267966,152,0,1.20035656066063,3.918111949542521,0.04140920469518173,17.37767589255576,34830.101880236325,0.0,0.002560991539026447,5.697902038296726,0.0004494621918406226,21.178566988082483,0.10801080108010801,0.06519089555555567,-626.0,0.21782178217821782,2,0.0022988505747126436,0,0.0,0,0.0,50.0,0.99999999999998,0.0,0.0,0.0,0.1859632963740668,0.5843661712663981,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,870,1111,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
8,5,3,16,69,788,1050,1.5,151955.61861803936,2.5195561861803935,1.2924747827791627,0.39897344839176163,25.161677081344134,0.0,15.092810153961182,788,1050,1343.7343038395902,1.279746956037705,0.6094089070449382,112,0,1.02489768672834,3.9087102962690308,0.027987049205950677,17.237321079804136,32725.25346891128,0.0,0.004030972086414047,5.68543136384114,0.0007090002197634427,20.470733170363587,0.07238095238095238,0.02298998319020079,-523.0,0.25047619047619046,2,0.0025380710659898475,0,0.0,0,0.0,30.172200861199677,1.0057400287066225,0.0,0.0,0.0,0.15223585310706797,0.5135085902923536,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,788,1050,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
9,2,2,14,76,238,292,1.5,96148.21386289627,1.9614821386289627,1.238983729312686,0.18709831204584976,10.547572804529905,0.0,14.623271703720093,238,292,362.5700718506447,1.2416783282556325,0.7148449243969877,26,0,1.2135455229844847,4.0624057431848195,0.05657562365983325,8.76581085689171,4519.661827350583,0.0,0.015098608112811192,5.716591589388566,0.0026411906249932866,11.58369676984718,0.1780821917808219,0.048975057579604596,-181.0,0.18835616438356165,2,0.008403361344537815,0,0.0,4,0.0136986301369863,20.04051955557783,1.0020259777788416,0.0,0.0,0.0,0.14943517864310382,0.4128720860406438,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,238,292,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,5,5,20,83,1300,1751,1.5,238215.09894365637,3.3821509894365636,1.2725913616898745,0.40009876233799724,27.89009439850115,0.0,16.41141104698181,1300,1751,2218.2857240052745,1.2668679177642914,0.6375885098679064,202,0,0.9896923933764015,3.957408621615698,0.0270862172353577,20.829821421757764,67029.79545198614,0.0,0.0033502271023028328,5.658095018788025,0.0005921122022832105,26.61620418073074,0.05711022272986865,0.045944447947004356,-846.0,0.2581382067390063,2,0.0015384615384615385,0,0.0,0,0.0,50.045471990094924,1.0009094398018785,0.0,0.0,0.0,0.07121401461029055,0.46951388922374937,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,1300,1751,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
