id,name,is_base,success,max_force,max_stretch,mean_stretch,energy,n_nodes,n_edges
0,square_3x3_pts5_seed0,True,True,411253.6009600238,5.112536009600238,1.4200033317417038,16414224.363612363,136,144
1,square_3x3_pts5_seed1001,False,True,425744.5432747545,5.257445432747545,1.2108327537756878,14422881.59922,196,216
2,square_3x3_pts5_seed1002,False,True,655233.576975837,7.55233576975837,1.286969266939966,16305490.414011171,196,216
3,square_3x3_pts5_seed1003,False,True,359465.038109454,4.59465038109454,1.22427543742283,13277394.051365482,196,216
4,square_3x3_pts5_seed1004,False,True,395422.32463342126,4.954223246334212,1.2224031705053828,14391213.637290398,196,216
5,square_3x3_pts5_seed1005,False,True,394693.6491488045,4.946936491488045,1.2227755958958075,13865144.5660241,196,216
6,square_3x3_pts5_seed1006,False,True,423329.97359083296,5.2332997359083295,1.2543316767723196,15759163.82920604,196,216
7,square_3x3_pts5_seed1007,False,True,439975.9144931004,5.3997591449310045,1.247072628846142,15904690.237542888,196,216
8,square_3x3_pts5_seed1008,False,True,391825.28987829207,4.918252898782921,1.2155857554067697,13352085.627120858,196,216
9,square_3x3_pts5_seed1009,False,True,390255.2401791164,4.902552401791164,1.2225954254578686,15031277.231115786,196,216
10,square_3x3_pts5_seed1010,False,True,398999.2683710793,4.989992683710793,1.2275289758363976,14103019.89042985,196,216
11,square_3x3_pts5_seed1011,False,True,427238.2958062958,5.272382958062958,1.2464296787737805,14297307.358678376,196,216
12,square_3x3_pts5_seed1012,False,True,396953.4762234632,4.969534762234632,1.2347612484468722,14549639.933997264,196,216
13,square_3x3_pts5_seed1013,False,True,386918.54780645214,4.869185478064521,1.2538477187239148,15104941.322937222,196,216
14,square_3x3_pts5_seed1014,False,True,462257.3193475853,5.622573193475853,1.2635048368595716,15862974.923982717,196,216
15,square_3x3_pts5_seed1015,False,True,401829.5916054427,5.018295916054427,1.2236182714181472,14338009.444162978,196,216
16,square_3x3_pts5_seed1016,False,True,474787.3164866088,5.747873164866088,1.254322709244475,15369976.179894261,196,216
17,square_3x3_pts5_seed1017,False,True,416999.56776963826,5.169995677696383,1.2330673602952895,14294208.146393137,196,216
18,square_3x3_pts5_seed1018,False,True,411762.01427911164,5.117620142791116,1.2462707418814276,14967237.21325733,196,216
19,square_3x3_pts5_seed1019,False,True,395737.3986141513,4.957373986141513,1.2239405373438839,12960079.365118815,196,216
